state,region
Arizona,west
California,west
Colorado,west
Montana,west
Nevada,west
New Mexico,west
Oregon,west
Utah,west
Washington,west
Wyoming,west
Connecticut,northeast
Maine,northeast
Massachusetts,northeast
New Hampshire,northeast
New Jersey,northeast
New York,northeast
Pennsylvania,northeast
Rhode Island,northeast
Illinois,midwest
Indiana,midwest
Iowa,midwest
Kansas,midwest
Michigan,midwest
Minnesota,midwest
Missouri,midwest
Nebraska,midwest
North Dakota,midwest
Ohio,midwest
South Dakota,midwest
Wisconsin,midwest
West Virginia,south
Delaware,south
Maryland,south
Virginia,south
Alabama,south
Florida,south
Georgia,south
Kentucky,south
Mississippi,south
North Carolina,south
South Carolina,south
Tennessee,south
Arkansas,south
Louisiana,south
Oklahoma,south
Texas,south
